Calories (g), Calories/Fat (g), Total Fat (g), Saturated Fat (g), Cholesterol (mg), Trans Fat (g), Sodium (mg), Total Carbs (g), Sugars (g), Dietary Fiber (g), Protein (g), Vitamin A, Vitamin C, Calcium, Iron
'GC . FRIED AVOCADO FRESH AVOCADOS ON CORN WITH POBLANO SAUCE', 367.0, 162.0, 18.0, 5.0, 27.0, 0.0, 449.0, 42.0, 3.0, 5.0, 11.0, 13.0, 13.0, 15.0, 7.0
'GREEN CHILE PORK ON CORN WITH TOMATILLO SAUCE', 248.0, 54.0, 6.0, 3.0, 44.0, 0.0, 656.0, 33.0, 3.0, 1.0, 17.0, 6.0, 19.0, 7.0, 7.0
'GREEN CHILE PORK ON FLOUR WITH TOMATILLO SAUCE', 228.0, 69.0, 8.0, 3.0, 44.0, 0.0, 836.0, 23.0, 4.0, 1.0, 18.0, 6.0, 19.0, 7.0, 7.0
'INDEPENDENT ON FLOUR WITH ANCHO AIOLI', 409.0, 225.0, 25.0, 4.0, 36.0, 0.0, 1241.0, 40.0, 4.0, 5.0, 11.0, 54.0, 9.0, 10.0, 14.0
'INDEPENDENT ON CORN WITH ANCHO AIOLI', 429.0, 207.0, 23.0, 4.0, 36.0, 0.0, 1061.0, 50.0, 3.0, 5.0, 10.0, 54.0, 9.0, 10.0, 14.0
'GC = INDEPENDENT GRILLED MUSHROOMS ON CORN WITH ANCHO AIOLI', 447.0, 342.0, 38.0, 7.0, 24.0, 0.0, 1.121, 24.0, 3.0, 5.0, 8.0, 32.0, 9.0, 10.0, 14.0
'MR. ORANGE ON CORN WITH AVOCADO SAUCE', 282.0, 90.0, 10.0, 3.0, 9.0, 0.0, 719.0, 33.0, 2.0, 2.0, 15.0, 8.0, 14.0, 8.0, 5.0
'MR. ORANGE ON FLOUR WITH AVOCADO SAUCE', 262.0, 108.0, 12.0, 3.0, 9.0, 0.0, 899.0, 23.0, 3.0, 1.0, 16.0, 8.0, 14.0, 8.0, 5.0
'MR. PINK ON CORN WITH CHIPOTLE SAUCE', 445, 252, 28, 5, 49, 0, 817, 29, 1, 1, 18, 41, 9, 8, 5
'MR. PINK ON FLOUR WITH CHIPOTLE SAUCE', 425, 270, 30, 5, 49, 0, 997, 19, 2, 1, 19, 41, 9, 8, 5
'REPUBLICAN ON FLOUR WITH POBLANO SAUCE', 395, 261, 29, 9, 62, 0, 935, 19, 3, 1, 15, 9, 8, 13, 5
'REPUBLICAN ON CORN WITH POBLANO SAUCE', 415.0, 243.0, 27.0, 9.0, 62.0, 0.0, 755.0, 29.0, 2.0, 1.0, 14.0, 9.0, 8.0, 13.0, 5.0
'TIPSY CHICK ON FLOUR WITH CHIPOTLE SAUCE & MARMALADE', 1077.0, 540.0, 60.0, 17.0, 172.0, 0.0, 2537.0, 78.0, 53.0, 1.0, 56.0, 35.0, 17.0, 16.0, 13.0
'TIPSY CHICK ON CORN WITH CHIPOTLE SAUCE & MARMALADE', 1097.0, 522.0, 58.0, 17.0, 172.0, 0.0, 2357.0, 88.0, 52.0, 1.0, 55.0, 35.0, 17.0, 16.0, 13.0
'TIPSY CHICK ON FLOUR WITH CHIPOTLE SAUCE & WITHOUT MARMALADE', 403.0, 207.0, 23.0, 5.0, 81.0, 0.0, 661.0, 24.0, 4.0, 1.0, 26.0, 34.0, 17.0, 10.0, 5.0
'TRAILER PARK ON FLOUR WITH POBLANO SAUCE', 331, 171, 19, 5, 74, 0, 777, 22, 3, 1, 18, 12, 17, 14, 5
'TRAILER PARK ON CORN WITH POBLANO SAUCE', 351.0, 153.0, 17.0, 5.0, 74.0, 0.0, 597.0, 32.0, 2.0, 1.0, 17.0, 12.0, 17.0, 14.0, 5.0
'TRAILER PARK TRASHY ON FLOUR WITH POBLANO SAUCE', 385, 216, 24, 8, 88, 0, 1014, 23, 4, 1, 20, 13, 20, 19, 5
'TRAILER PARK TRASHY ON CORN WITH POBLANO SAUCE', 405.0, 198.0, 22.0, 8.0, 88.0, 0.0, 834.0, 33.0, 3.0, 1.0, 19.0, 13.0, 20.0, 19.0, 5.0
'COFFEE 16 OZ', 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'DECAF COFFEE 16 OZ.', 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'ICED TEA SWEET', 232.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 60.0, 59.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'ICED TEA UNSWEET', 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT BLACK CHERRY', 220.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 54.0, 54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT DIET MEXICANE COLA', 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0
'MAINE ROOT DOPPELGÄNGER', 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT LEMON LIME', 200.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT MEXICANE COLA', 220.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 56.0, 56.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT DRINK PINK DRINK', 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'MAINE ROOT VANILLA CREME', 220.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 54.0, 54.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'GRANDE BURRITO WITH BEEF', 1153.0, 522.0, 58.0, 23.0, 128.0, 1.0, 2101.0, 108.0, 9.0, 18.0, 53.0, 51.0, 36.0, 53.0, 53.0
'GRANDE BURRITO WITH CHICKEN', 1093.0, 450.0, 50.0, 20.0, 134.0, 1.0, 2085.0, 108.0, 9.0, 18.0, 55.0, 52.0, 36.0, 53.0, 47.0
'GRANDE BURRITO WITH PORK', 1049.0, 423.0, 47.0, 20.0, 115.0, 1.0, 2509.0, 108.0, 9.0, 18.0, 51.0, 51.0, 40.0, 53.0, 50.0
'GRANDE BURRITO WITH VEGGIES', 985.0, 387.0, 43.0, 19.0, 76.0, 1.0, 1.987, 113.0, 12.0, 20.0, 38.0, 71.0, 103.0, 54.0, 47.0
"JUAN'S REFRIED BEANS OZ.", 551, 63, 7, 2, 9, 0, 1051, 92, 6, 21, 32, 22, 20, 19, 39
'LIL NOOKIES 13', 2820.0, 558.0, 62.0, 30.0, 240.0, 0.0, 4041.0, 537.0, 154.0, 21.0, 45.0, 139.0, 81.0, 29.0, 589.0
'LIL NOOKIES 3', 687.0, 126.0, 14.0, 7.0, 58.0, 0.0, 993.0, 131.0, 38.0, 5.0, 11.0, 34.0, 20.0, 7.0, 147.0
'LOVEPUPPIES PEANUT BUTTER', 400.0, 162.0, 18.0, 10.0, 90.0, 0.0, 75.0, 58.0, 41.0, 3.0, 7.0, 0.0, 0.0, 2.0, 8.0
'LOVEPUPPIES DOUBLE CHOCOLATE', 370.0, 144.0, 16.0, 10.0, 90.0, 0.0, 25.0, 57.0, 40.0, 3.0, 5.0, 0.0, 0.0, 2.0, 10.0
'LOVEPUPPIES DOUBLE CHOCOLATE GLUTEN FREE', 380.0, 144.0, 16.0, 10.0, 90.0, 0.0, 25.0, 60.0, 40.0, 2.0, 4.0, 0.0, 0.0, 2.0, 10.0
'LOVEPUPPIES RED VELVETEEN', 380.0, 153.0, 17.0, 10.0, 95.0, 0.0, 50.0, 55.0, 38.0, 3.0, 7.0, 0.0, 0.0, 4.0, 10.0
'REFRIED BLACK BEANS 8 OZ.', 667.0, 54.0, 6.0, 0.0, 0.0, 0.0, 2043.0, 125.0, 9.0, 29.0, 36.0, 35.0, 18.0, 24.0, 77.0
'STREET CORN 8 OZ.', 485, 270, 30, 8, 41, 0, 2556, 51, 10, 7, 13, 29, 18, 17, 9
'TORCHY'S MEXICAN RICE 8 OZ.', 241, 27, 3, 0, 0, 0, 479, 48, 4, 2, 5, 42, 15, 2, 14
'AIRSTREAM SALAD NO PROTEIN', 667.0, 504.0, 56.0, 9.0, 18.0, 0.0, 1180.0, 33.0, 14.0, 8.0, 12.0, 67.0, 42.0, 16.0, 20.0
'AIRSTREAM SALAD WITH CHICKEN', 800, 567, 63, 10, 75, 0, 1.281, 33, 14, 8, 30, 68, 42, 16, 22
'AIRSTREAM SALAD WITH SALMON', 875, 621, 69, 12, 18, 0, 1839, 36, 15, 8, 32, 67, 42, 18, 25
'AIRSTREAM SALAD NO CHAMPAGNE VINAIGRETTE OR CHIPOTLE SAUCE', 329.0, 171.0, 19.0, 3.0, 9.0, 0.0, 765.0, 32.0, 14.0, 7.0, 12.0, 67.0, 41.0, 15.0, 18.0
'AVOCADO SAUCE 1 OZ.', 19, 9, 1, 0, 0, 0, 142, 2, 1, 1, 0, 2, 8, 0, 1
'CHIPOTLE SAUCE 1 OZ.', 184.0, 180.0, 20.0, 3.0, 18.0, 0.0, 197.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0
'DIABLO SAUCE - 1 OZ.', 45.0, 45.0, 5.0, 1.0, 0.0, 0.0, 180.0, 1.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 2.0
'POBLANO SAUCE 1 OZ.', 90.0, 81.0, 9.0, 2.0, 10.0, 0.0, 85.0, 2.0, 1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0
'ROJA SAUCE OZ', 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109.0, 2.0, 1.0, 0.0, 0.0, 5.0, 5.0, 0.0, 1.0
'TOMATILLO SAUCE OZ.', 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.0, 1.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 2.0
'ACE OF SPADES', 678.0, 414.0, 46.0, 20.0, 302.0, 1.0, 1804.0, 20.0, 4.0, 0.0, 34.0, 21.0, 9.0, 23.0, 14.0
'GREEN CHILE PORK MISSIONARY STYLE', 603.0, 405.0, 45.0, 11.0, 78.0, 0.0, 1131.0, 28.0, 2.0, 2.0, 24.0, 11.0, 10.0, 18.0, 7.0
'HIPSTER', 389.0, 162.0, 18.0, 6.0, 71.0, 0.0, 1.257, 27.0, 2.0, 2.0, 29.0, 9.0, 15.0, 8.0, 10.0
'JACK OF CLUBS', 504, 225, 25, 7, 209, 0, 850, 50, 4, 6, 20, 22, 12, 18, 19
'MAD cow', 653.0, 387.0, 43.0, 10.0, 84.0, 1.0, 1166.0, 42.0, 5.0, 5.0, 30.0, 13.0, 8.0, 14.0, 20.0
'MATADOR', 678, 423, 47, 17, 113, 2, 1583, 34, 4, 2, 33, 15, 34, 20, 11
'TRAILER PARK HILLBILLY STYLE', 638.0, 360.0, 40.0, 15.0, 135.0, 0.0, 1870.0, 24.0, 4.0, 1.0, 35.0, 16.0, 18.0, 18.0, 10.0
